,Name,Address,Type,Built,Beds,Bath,Sqft,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,community_count,unit_count,Price
73,,"7001 Rainier Ave S 7001 Rainier Ave S, Seattle, WA 98118",Apartment,1959.0,1,1.0,570.0,5,3.6,2650.0,684990.0,1,0,1250.0
74,Legacy at Pratt Park,"1800 S Jackson St, Seattle, WA 98144",Apartment,2009.0,0,1.0,786.0,5,4.6,2650.0,684990.0,68,1,1321.0
75,Legacy at Pratt Park,"1800 S Jackson St, Seattle, WA 98144",Apartment,2009.0,2,2.0,1183.0,5,4.6,2650.0,684990.0,68,1,2602.0
77,,"1323 East Pine St 1323 E Pine St, Seattle, WA 98122",Apartment,2014.0,0,1.0,350.0,4,3.25,2650.0,684990.0,1,0,1295.0
78,,"506 EAST UNION ST 506 E Union St, Seattle, WA 98122",Apartment,2014.0,0,1.0,500.0,3,3.33,2650.0,684990.0,1,0,1195.0
79,,"506 EAST UNION ST 506 E Union St, Seattle, WA 98122",Apartment,2014.0,2,1.0,686.0,3,3.33,2650.0,684990.0,1,0,1650.0
80,,"4905 Woodland Park Ave N, Seattle, WA 98103",Condo/Townhome/Row Home/Co-Op,2014.0,0,1.0,300.0,6,8.33,2650.0,684990.0,0,1,1145.0
81,,"3630 22nd Ave W 3630 22nd Ave W, Seattle, WA 98199",Apartment,1990.0,1,1.0,600.0,5,8.2,2650.0,684990.0,1,0,1675.0
82,,"3630 22nd Ave W 3630 22nd Ave W, Seattle, WA 98199",Apartment,1990.0,1,1.0,700.0,5,8.2,2650.0,684990.0,1,0,1775.0
83,,"3630 22nd Ave W 3630 22nd Ave W, Seattle, WA 98199",Apartment,1990.0,1,1.0,800.0,5,8.2,2650.0,684990.0,1,0,1775.0
84,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,0,1.0,475.0,5,6.8,2650.0,684990.0,29,0,1329.0
85,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,1,1.0,750.0,5,6.8,2650.0,684990.0,29,0,1699.0
86,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,1,1.0,765.0,5,6.8,2650.0,684990.0,29,0,1699.0
87,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,1,1.0,615.0,5,6.8,2650.0,684990.0,29,0,1499.0
88,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,1,1.0,790.0,5,6.8,2650.0,684990.0,29,0,1659.0
89,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,1,1.0,755.0,5,6.8,2650.0,684990.0,29,0,1679.0
90,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,1,1.0,685.0,5,6.8,2650.0,684990.0,29,0,1599.0
91,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,2,2.0,840.0,5,6.8,2650.0,684990.0,29,0,1799.0
92,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,2,2.0,960.0,5,6.8,2650.0,684990.0,29,0,1999.0
93,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,2,2.0,985.0,5,6.8,2650.0,684990.0,29,0,1899.0
94,Towers on Greenwood,"8551 Greenwood Ave N, Seattle, WA 98103",Apartment,2001.0,2,2.0,940.0,5,6.8,2650.0,684990.0,29,0,1949.0
95,Vermont Inn,"2721 4th Ave, Seattle, WA 98121",Apartment,1994.0,0,1.0,240.0,4,6.25,2650.0,684990.0,9,0,1795.0
96,Odin,"5398 Russell Ave NW, Seattle, WA 98107",Apartment,2015.0,1,1.0,553.0,5,7.4,2650.0,684990.0,10,0,1761.0
97,Odin,"5398 Russell Ave NW, Seattle, WA 98107",Apartment,2015.0,1,1.0,552.0,5,7.4,2650.0,684990.0,10,0,1832.0
98,Odin,"5398 Russell Ave NW, Seattle, WA 98107",Apartment,2015.0,1,1.0,535.0,5,7.4,2650.0,684990.0,10,0,1889.0
99,Odin,"5398 Russell Ave NW, Seattle, WA 98107",Apartment,2015.0,1,1.0,694.0,5,7.4,2650.0,684990.0,10,0,2336.0
100,Odin,"5398 Russell Ave NW, Seattle, WA 98107",Apartment,2015.0,1,1.0,541.0,5,7.4,2650.0,684990.0,10,0,1847.0
101,Odin,"5398 Russell Ave NW, Seattle, WA 98107",Apartment,2015.0,1,1.0,540.0,5,7.4,2650.0,684990.0,10,0,1847.0
102,Odin,"5398 Russell Ave NW, Seattle, WA 98107",Apartment,2015.0,1,1.0,739.0,5,7.4,2650.0,684990.0,10,0,2238.0
103,Odin,"5398 Russell Ave NW, Seattle, WA 98107",Apartment,2015.0,1,1.0,609.0,5,7.4,2650.0,684990.0,10,0,2050.0
104,Odin,"5398 Russell Ave NW, Seattle, WA 98107",Apartment,2015.0,2,2.0,942.0,5,7.4,2650.0,684990.0,10,0,3066.0
105,Odin,"5398 Russell Ave NW, Seattle, WA 98107",Apartment,2015.0,2,2.0,991.0,5,7.4,2650.0,684990.0,10,0,2894.0
107,,"713-B 27th Ave, Seattle, WA 98122",Single Family Home,2014.0,1,1.0,600.0,6,4.0,2650.0,684990.0,0,0,1650.0
108,,"1525 Taylor Ave N Apt 507, Seattle, WA 98109",Single Family Home,2014.0,1,1.0,670.0,5,8.0,2650.0,684990.0,0,0,1745.0
110,Greenwood Place Apartments,"14307 Greenwood Ave N, Seattle, WA 98133",Apartment,2015.0,1,1.0,875.0,5,5.2,2650.0,684990.0,35,0,1995.0
111,Greenwood Place Apartments,"14307 Greenwood Ave N, Seattle, WA 98133",Apartment,2015.0,1,1.0,575.0,5,5.2,2650.0,684990.0,35,0,1665.0
112,Greenwood Place Apartments,"14307 Greenwood Ave N, Seattle, WA 98133",Apartment,2015.0,2,2.0,1020.0,5,5.2,2650.0,684990.0,35,0,2325.0
113,Greenwood Place Apartments,"14307 Greenwood Ave N, Seattle, WA 98133",Apartment,2015.0,2,1.0,875.0,5,5.2,2650.0,684990.0,35,0,1995.0
114,Greenwood Place Apartments,"14307 Greenwood Ave N, Seattle, WA 98133",Apartment,2015.0,2,2.0,1020.0,5,5.2,2650.0,684990.0,35,0,2325.0
115,,"2210 31st Ave S, Seattle, WA 98144",Single Family Home,2014.0,2,2.0,2240.0,5,5.6,2650.0,684990.0,0,0,3595.0
116,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,724.0,5,4.4,2650.0,684990.0,7,0,2150.0
117,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,586.0,5,4.4,2650.0,684990.0,7,0,2075.0
118,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,728.0,5,4.4,2650.0,684990.0,7,0,2360.0
119,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,730.0,5,4.4,2650.0,684990.0,7,0,2375.0
120,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,693.0,5,4.4,2650.0,684990.0,7,0,2200.0
121,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,585.0,5,4.4,2650.0,684990.0,7,0,2075.0
122,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,684.0,5,4.4,2650.0,684990.0,7,0,2210.0
123,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,590.0,5,4.4,2650.0,684990.0,7,0,2075.0
124,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,670.0,5,4.4,2650.0,684990.0,7,0,2215.0
125,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,716.0,5,4.4,2650.0,684990.0,7,0,2335.0
126,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,627.0,5,4.4,2650.0,684990.0,7,0,2125.0
127,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,661.0,5,4.4,2650.0,684990.0,7,0,2085.0
128,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,696.0,5,4.4,2650.0,684990.0,7,0,2210.0
129,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,1,1.0,670.0,5,4.4,2650.0,684990.0,7,0,2120.0
130,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,2,2.0,1126.0,5,4.4,2650.0,684990.0,7,0,3255.0
131,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,2,2.0,1009.0,5,4.4,2650.0,684990.0,7,0,3205.0
132,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,2,2.0,951.0,5,4.4,2650.0,684990.0,7,0,3200.0
133,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,2,2.0,1091.0,5,4.4,2650.0,684990.0,7,0,3185.0
134,Batik,"123 Broadway, Seattle, WA 98122",Apartment,2018.0,2,2.0,1126.0,5,4.4,2650.0,684990.0,7,0,3220.0
135,,"2016 E Spruce St, Seattle, WA 98122",Single Family Home,2014.0,2,2.0,950.0,6,4.17,2650.0,684990.0,0,0,1900.0
136,The Raleigh,"12411-12415 Ambaum Blvd SW, Seattle, WA 98146",Apartment,1968.0,0,1.0,615.0,5,3.4,2650.0,684990.0,31,1,1100.0
137,The Raleigh,"12411-12415 Ambaum Blvd SW, Seattle, WA 98146",Apartment,1968.0,1,1.0,650.0,5,3.4,2650.0,684990.0,31,1,1425.0
138,The Raleigh,"12411-12415 Ambaum Blvd SW, Seattle, WA 98146",Apartment,1968.0,2,1.0,980.0,5,3.4,2650.0,684990.0,31,1,1550.0
139,The Raleigh,"12411-12415 Ambaum Blvd SW, Seattle, WA 98146",Apartment,1968.0,2,2.0,1150.0,5,3.4,2650.0,684990.0,31,1,1500.0
142,,"6817 19th Ave NE, Seattle, WA 98115",Single Family Home,2014.0,3,1.0,1310.0,4,8.5,2650.0,684990.0,0,2,2995.0
143,,"1925 Eastlake Avenue East 1925 Eastlake Ave E, Seattle, WA 98102",Apartment,1977.0,1,1.0,765.0,3,5.33,2650.0,684990.0,0,0,1650.0
144,,"1107 1st Ave Apt 1506, Seattle, WA 98101",Other,2014.0,1,1.0,712.0,3,4.0,2650.0,684990.0,0,0,2495.0
145,,"4250 Fremont Ave N 4250 Fremont Ave N, Seattle, WA 98103",Apartment,2014.0,3,1.0,1400.0,5,7.8,2650.0,684990.0,1,0,2995.0
146,,"4250 Fremont Ave N 4250 Fremont Ave N, Seattle, WA 98103",Apartment,2014.0,3,1.0,1443.0,5,7.8,2650.0,684990.0,1,0,2995.0
147,The Lofts at The Junction,"4535 44th Ave SW, Seattle, WA 98116",Apartment,2015.0,0,1.0,302.0,5,7.0,2650.0,684990.0,24,1,1390.0
148,The Lofts at The Junction,"4535 44th Ave SW, Seattle, WA 98116",Apartment,2015.0,0,1.0,430.0,5,7.0,2650.0,684990.0,24,1,1780.0
149,The Lofts at The Junction,"4535 44th Ave SW, Seattle, WA 98116",Apartment,2015.0,1,1.0,484.0,5,7.0,2650.0,684990.0,24,1,1550.0
151,,"2210 Minor Ave E 2210 Minor Ave E, Seattle, WA 98102",Apartment,2014.0,1,1.0,675.0,3,7.33,2650.0,684990.0,1,0,1650.0
152,,"5615 S 149th St 5615 S 149th St, Tukwila, WA 98168",Apartment,1955.0,4,2.0,1750.0,4,3.0,2495.0,449000.0,1,0,2395.0
153,West Ridge Park Apartments,"7901 Delridge Way SW, Seattle, WA 98106",Apartment,1990.0,1,1.0,751.0,5,3.8,2650.0,684990.0,43,1,1645.0
154,West Ridge Park Apartments,"7901 Delridge Way SW, Seattle, WA 98106",Apartment,1990.0,1,1.0,688.0,5,3.8,2650.0,684990.0,43,1,1545.0
155,West Ridge Park Apartments,"7901 Delridge Way SW, Seattle, WA 98106",Apartment,1990.0,2,1.0,1017.0,5,3.8,2650.0,684990.0,43,1,1700.0
156,West Ridge Park Apartments,"7901 Delridge Way SW, Seattle, WA 98106",Apartment,1990.0,2,1.0,1052.0,5,3.8,2650.0,684990.0,43,1,1845.0
157,West Ridge Park Apartments,"7901 Delridge Way SW, Seattle, WA 98106",Apartment,1990.0,2,1.0,954.0,5,3.8,2650.0,684990.0,43,1,1665.0
158,West Ridge Park Apartments,"7901 Delridge Way SW, Seattle, WA 98106",Apartment,1990.0,2,2.0,1052.0,5,3.8,2650.0,684990.0,43,1,2045.0
159,West Ridge Park Apartments,"7901 Delridge Way SW, Seattle, WA 98106",Apartment,1990.0,2,1.0,1110.0,5,3.8,2650.0,684990.0,43,1,1940.0
160,Wharfside Pointe,"3812-3827 14th Ave W, Seattle, WA 98119",Apartment,1991.0,1,1.0,629.0,5,8.4,2650.0,684990.0,14,1,1712.0
161,Wharfside Pointe,"3812-3827 14th Ave W, Seattle, WA 98119",Apartment,1991.0,1,1.0,606.0,5,8.4,2650.0,684990.0,14,1,1697.0
162,Wharfside Pointe,"3812-3827 14th Ave W, Seattle, WA 98119",Apartment,1991.0,2,2.0,976.0,5,8.4,2650.0,684990.0,14,1,2086.0
163,Aperture on Fifth,"206 5th Ave N, Seattle, WA 98109",Apartment,2014.0,0,1.0,447.0,4,6.25,2650.0,684990.0,41,0,1786.0
164,Aperture on Fifth,"206 5th Ave N, Seattle, WA 98109",Apartment,2014.0,1,1.0,801.0,4,6.25,2650.0,684990.0,41,0,2246.0
165,Aperture on Fifth,"206 5th Ave N, Seattle, WA 98109",Apartment,2014.0,1,1.0,809.0,4,6.25,2650.0,684990.0,41,0,2283.0
166,Aperture on Fifth,"206 5th Ave N, Seattle, WA 98109",Apartment,2014.0,1,1.0,706.0,4,6.25,2650.0,684990.0,41,0,1982.0
167,Aperture on Fifth,"206 5th Ave N, Seattle, WA 98109",Apartment,2014.0,1,1.0,669.0,4,6.25,2650.0,684990.0,41,0,2000.0
168,,"4203 Brooklyn Ave NE 4203 Brooklyn Ave NE, Seattle, WA 98105",Apartment,2014.0,0,1.0,545.0,5,8.0,2650.0,684990.0,0,0,1075.0
169,,"4203 Brooklyn Ave NE 4203 Brooklyn Ave NE, Seattle, WA 98105",Apartment,2014.0,0,1.0,495.0,5,8.0,2650.0,684990.0,0,0,1045.0
170,,"4203 Brooklyn Ave NE 4203 Brooklyn Ave NE, Seattle, WA 98105",Apartment,2014.0,0,1.0,500.0,5,8.0,2650.0,684990.0,0,0,1150.0
171,,"655 Crockett St, Seattle, WA 98109",Condo/Townhome/Row Home/Co-Op,2014.0,1,1.0,587.0,5,7.8,2650.0,684990.0,0,0,1850.0
172,,"1424 E Pine St, Seattle, WA 98122",Other,2014.0,0,1.0,1439.0,5,3.8,2650.0,684990.0,0,0,4557.0
173,,"4745 16th ave NE 4745 16th Ave NE, Seattle, WA 98105",Apartment,2014.0,3,2.0,1200.0,5,8.0,2650.0,684990.0,0,0,2495.0
174,,"4971 13th Ave S # B, Seattle, WA 98108",Single Family Home,2014.0,2,1.0,950.0,5,5.8,2650.0,684990.0,0,0,1595.0
175,,"7931 18th Ave SW, Seattle, WA 98106",Single Family Home,2014.0,2,1.0,800.0,5,3.6,2650.0,684990.0,0,0,2195.0
176,,"2015 Terry Ave, Seattle, WA 98121",Condo/Townhome/Row Home/Co-Op,2014.0,1,1.0,774.0,3,3.33,2650.0,684990.0,0,2,2400.0
177,,"2324 W Newton St Apt 302, Seattle, WA 98199",Other,2014.0,2,2.0,932.0,5,8.2,2650.0,684990.0,0,0,2700.0
179,,"3418A 22nd Ave W, Seattle, WA 98199",Condo/Townhome/Row Home/Co-Op,2014.0,3,2.0,1570.0,5,8.2,2650.0,684990.0,1,2,3200.0
181,,"4308 Winslow Pl N Unit B, Seattle, WA 98103",Condo/Townhome/Row Home/Co-Op,2014.0,3,2.0,1300.0,6,8.33,2650.0,684990.0,3,1,3300.0
182,,"8004 25th Ave NW, Seattle, WA 98117",Condo/Townhome/Row Home/Co-Op,2014.0,2,1.0,1100.0,5,7.8,2650.0,684990.0,1,2,2900.0
183,,"1019 E Pike St 1019 E Pike St, Seattle, WA 98122",Apartment,2014.0,0,1.0,390.0,4,3.25,2650.0,684990.0,1,0,1325.0
